# frame,plate_center
# stamp,1.75827e+09
index,x,y,z
0,1.57279,-0.0523625,0.05
1,1.5533,-0.0523625,0.05
2,1.53381,-0.0538912,0.05
3,1.50782,-0.0561843,0.05
4,1.48833,-0.0745287,0.05
5,1.46884,-0.0745287,0.05
